table_name,table_description_ko,table_description_en,domain,keywords,sample_queries
IB_LINE_MASTER,라인 마스터 테이블. 라인 정보를 관리한다.,Line master table. Manages line information.,SMT/실장,LINE MASTER SMT 라인 마스터 실장,라인 정보 조회|라인 목록|SMT 현황
IB_MACHINE_LOCATION,설비 위치 테이블. 설비 관련 정보를 관리한다.,Machine Location table. Manages machine location information.,SMT/실장,LOCATION MACHINE SMT 설비 실장 위치,설비 정보 조회|설비 현황|SMT 현황
IB_MATERIAL_LOCATION,자재 위치 테이블. 자재 관련 정보를 관리한다.,Material Location table. Manages material location information.,SMT/실장,LOCATION MATERIAL SMT 실장 위치 자재,자재 정보 조회|자재 현황|SMT 현황
IB_MNT_AI_CSV,실장 AI CSV 데이터 테이블. 실장 관련 정보를 관리한다.,Mounting AI CSV Data table. Manages mounting ai csv data information.,SMT/실장,AI CSV CSV 데이터 MNT SMT 실장,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_BLOCKDATA,실장 BLOCKDATA 테이블. 실장 관련 정보를 관리한다.,Mounting BLOCKDATA table. Manages mounting blockdata information.,SMT/실장,BLOCKDATA MNT SMT 실장,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_CHIPDATA,실장 CHIPDATA 테이블. 실장 관련 정보를 관리한다.,Mounting CHIPDATA table. Manages mounting chipdata information.,SMT/실장,CHIPDATA MNT SMT 실장,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_CHIPDATA_NMP,실장 CHIPDATA NMP 테이블. 실장 관련 정보를 관리한다.,Mounting CHIPDATA NMP table. Manages mounting chipdata nmp information.,SMT/실장,CHIPDATA MNT NMP SMT 실장,실장 정보 조회|실장 현황|SMT 현황
IB_MNT_PARTLIB_COMPARE_MASTER,실장 부품 라이브러리 비교 마스터 테이블. 실장 부품 라이브러리 비교 정보를 관리한다.,Mounting Part Library Compare master table. Manages mounting part library compare information.,SMT/실장,COMPARE MASTER MNT PARTLIB SMT 마스터 부품 라이브러리 비교 실장,실장 정보 조회|실장 목록|SMT 현황
IB_MNT_PARTLIB_MASTER,실장 부품 라이브러리 마스터 테이블. 실장 부품 라이브러리 정보를 관리한다.,Mounting Part Library master table. Manages mounting part library information.,SMT/실장,MASTER MNT PARTLIB SMT 마스터 부품 라이브러리 실장,실장 정보 조회|실장 목록|SMT 현황
IB_MNT_PARTLIB_MASTER_WORK,실장 부품 라이브러리 마스터 테이블. 실장 부품 라이브러리 정보를 관리한다.,Mounting Part Library master table. Manages mounting part library information.,SMT/실장,MASTER MNT PARTLIB SMT WORK 마스터 부품 라이브러리 실장 작업,실장 정보 조회|실장 목록|SMT 현황
